Datetime,Water Level (m)
2023-03-18 06:00:00,-0.8521822
2023-03-18 07:00:00,-0.93383664
2023-03-18 08:00:00,-0.83441377
2023-03-18 09:00:00,-0.5389075
2023-03-18 10:00:00,-0.15409145
2023-03-18 11:00:00,0.23004955
2023-03-18 12:00:00,0.48521528
2023-03-18 13:00:00,0.6099254
2023-03-18 14:00:00,0.5378959
2023-03-18 15:00:00,0.29860282
2023-03-18 16:00:00,-0.054398555
2023-03-18 17:00:00,-0.45575258
2023-03-18 18:00:00,-0.797755
2023-03-18 19:00:00,-1.0427147
2023-03-18 20:00:00,-1.1105313
2023-03-18 21:00:00,-0.94399416
2023-03-18 22:00:00,-0.6258849
2023-03-18 23:00:00,-0.24766783
2023-03-19 00:00:00,0.103231944
2023-03-19 01:00:00,0.34495232
2023-03-19 02:00:00,0.39517307
2023-03-19 03:00:00,0.25451538
2023-03-19 04:00:00,-0.04654718
2023-03-19 05:00:00,-0.43305787
2023-03-19 06:00:00,-0.7883069
2023-03-19 07:00:00,-1.0429387
2023-03-19 08:00:00,-1.1384985
2023-03-19 09:00:00,-0.97416884
2023-03-19 10:00:00,-0.59588826
2023-03-19 11:00:00,-0.12231097
2023-03-19 12:00:00,0.32770222
2023-03-19 13:00:00,0.6459132
2023-03-19 14:00:00,0.7781148
2023-03-19 15:00:00,0.66282946
2023-03-19 16:00:00,0.35680574
2023-03-19 17:00:00,-0.11970735
2023-03-19 18:00:00,-0.6083571
2023-03-19 19:00:00,-1.0222361
2023-03-19 20:00:00,-1.3004671
2023-03-19 21:00:00,-1.3360292
2023-03-19 22:00:00,-1.0633738
2023-03-19 23:00:00,-0.6111363
2023-03-20 00:00:00,-0.118085675
2023-03-20 01:00:00,0.3025792
2023-03-20 02:00:00,0.5620605
2023-03-20 03:00:00,0.57246697
2023-03-20 04:00:00,0.34870434
2023-03-20 05:00:00,-0.050925825
2023-03-20 06:00:00,-0.5192435
2023-03-20 07:00:00,-0.935259
2023-03-20 08:00:00,-1.2328464
2023-03-20 09:00:00,-1.3158282
2023-03-20 10:00:00,-1.0890176
2023-03-20 11:00:00,-0.61515313
2023-03-20 12:00:00,-0.051061053
2023-03-20 13:00:00,0.44694722
2023-03-20 14:00:00,0.7807932
2023-03-20 15:00:00,0.8683979
2023-03-20 16:00:00,0.665035
2023-03-20 17:00:00,0.25790596
2023-03-20 18:00:00,-0.2878833
2023-03-20 19:00:00,-0.80401134
2023-03-20 20:00:00,-1.2291842
2023-03-20 21:00:00,-1.4631627
2023-03-20 22:00:00,-1.3838592
2023-03-20 23:00:00,-0.9802665
2023-03-21 00:00:00,-0.4409831
2023-03-21 01:00:00,0.124401785
2023-03-21 02:00:00,0.56144434
2023-03-21 03:00:00,0.7749068
2023-03-21 04:00:00,0.6694918
2023-03-21 05:00:00,0.33840814
2023-03-21 06:00:00,-0.14775966
2023-03-21 07:00:00,-0.6691287
2023-03-21 08:00:00,-1.1099938
2023-03-21 09:00:00,-1.4033031
2023-03-21 10:00:00,-1.4261949
2023-03-21 11:00:00,-1.0721521
2023-03-21 12:00:00,-0.5105083
2023-03-21 13:00:00,0.10175354
2023-03-21 14:00:00,0.60832536
2023-03-21 15:00:00,0.9079446
2023-03-21 16:00:00,0.8810131
2023-03-21 17:00:00,0.5835948
2023-03-21 18:00:00,0.082496345
2023-03-21 19:00:00,-0.50070447
2023-03-21 20:00:00,-1.02322
2023-03-21 21:00:00,-1.403306
2023-03-21 22:00:00,-1.5468553
2023-03-21 23:00:00,-1.3124775
2023-03-22 00:00:00,-0.8217447
2023-03-22 01:00:00,-0.22383228
2023-03-22 02:00:00,0.32924506
2023-03-22 03:00:00,0.7235658
2023-03-22 04:00:00,0.8397471
2023-03-22 05:00:00,0.6613575
2023-03-22 06:00:00,0.24626954
2023-03-22 07:00:00,-0.2943204
2023-03-22 08:00:00,-0.84449
2023-03-22 09:00:00,-1.27457
2023-03-22 10:00:00,-1.4891093
2023-03-22 11:00:00,-1.3661995
2023-03-22 12:00:00,-0.90413225
2023-03-22 13:00:00,-0.29826128
2023-03-22 14:00:00,0.28812504
2023-03-22 15:00:00,0.7246315
2023-03-22 16:00:00,0.9100541
2023-03-22 17:00:00,0.75754666
2023-03-22 18:00:00,0.37660524
2023-03-22 19:00:00,-0.17087054
2023-03-22 20:00:00,-0.72323835
2023-03-22 21:00:00,-1.2034857
2023-03-22 22:00:00,-1.515376
2023-03-22 23:00:00,-1.5254444
2023-03-23 00:00:00,-1.151283
2023-03-23 01:00:00,-0.5726553
2023-03-23 02:00:00,0.07001319
2023-03-23 03:00:00,0.5986303
2023-03-23 04:00:00,0.8913694
2023-03-23 05:00:00,0.8568885
2023-03-23 06:00:00,0.5496382
2023-03-23 07:00:00,0.07427479
2023-03-23 08:00:00,-0.4763587
2023-03-23 09:00:00,-0.9754574
2023-03-23 10:00:00,-1.3300145
2023-03-23 11:00:00,-1.4256808
2023-03-23 12:00:00,-1.1585808
2023-03-23 13:00:00,-0.65335965
2023-03-23 14:00:00,-0.06963547
2023-03-23 15:00:00,0.45442206
2023-03-23 16:00:00,0.78057927
2023-03-23 17:00:00,0.8059872
2023-03-23 18:00:00,0.54957265
2023-03-23 19:00:00,0.099049576
2023-03-23 20:00:00,-0.4401053
2023-03-23 21:00:00,-0.9460229
2023-03-23 22:00:00,-1.3392292
2023-03-23 23:00:00,-1.509571
2023-03-24 00:00:00,-1.3373733
2023-03-24 01:00:00,-0.8628663
2023-03-24 02:00:00,-0.2860396
2023-03-24 03:00:00,0.27676457
2023-03-24 04:00:00,0.69259816
2023-03-24 05:00:00,0.84873503
2023-03-24 06:00:00,0.71050036
